OBJECTID,CITY_NAME,POP_1980,POP_1990,POP_2000,POP_2010,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,CITY_NUMBER,YEAR,REST_UPDATED,REST_UTC_OFFSET,AREA_ACRE,PERIMETER_METER,Shape__Area,Shape__Length
21,Williams,410,368,427,344,2,0,1,0,0,1,2000,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8425,2001,2019-10-08T09:31:26.062Z,-05:00,530.749053302296,7973.49566,3952818.33203125,10819.8464840116
22,Calumet,212,160,181,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,2001,2019-10-08T09:31:26.062Z,-05:00,168.207258209878,4223.0215,1271109.8984375,5772.23774868938
23,Cherokee,7004,6026,5369,5253,104,0,4,6,12,82,292730,34,0,4,11,16,3,2,0,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,3,3,0,0,0,0,0,0,0,1,2,7,8,10,11,6,10,12,13,9,15,2,3,2,4,6,12,10,22,20,13,4,5,1272,2001,2019-10-08T09:31:26.062Z,-05:00,4038.08323495331,32862.33672,30325781.8398438,44773.7531351491
24,Meriden,233,193,184,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4962,2001,2019-10-08T09:31:26.062Z,-05:00,80.1341626724902,4118.61356,602642.24609375,5610.05759355935
25,Cleghorn,275,275,250,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,2001,2019-10-08T09:31:26.062Z,-05:00,138.322669132962,3759.1208,1040831.1171875,5123.76334728476
26,Truesdale,128,132,91,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752,2001,2019-10-08T09:31:26.062Z,-05:00,88.7947399902668,2469.93988,666385.1015625,3364.9973219183
27,Rembrandt,291,229,228,203,1,0,0,0,0,1,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6405,2001,2019-10-08T09:31:26.062Z,-05:00,150.69436010032,3321.95632,1134421.9375,4530.56681736467
28,Sioux Rapids,897,792,720,775,11,0,0,1,1,9,79975,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,2,0,0,0,0,4,4,1,0,1,0,2,1,0,1,0,2,1,2,0,0,0,0,1,3,0,2,2,1,1,1,7062,2001,2019-10-08T09:31:26.062Z,-05:00,530.424783148291,6713.56706,4001532.48046875,9170.2238613719
29,Spencer,11726,11066,11317,11233,275,1,3,31,58,182,994983,132,1,3,43,75,11,8,0,0,0,0,9,9,5,0,0,0,0,6,6,3,0,0,0,0,6,6,2,0,0,0,0,3,3,5,1,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,17,11,0,0,0,0,11,11,32,28,23,18,21,17,24,22,21,23,25,21,2,3,4,9,23,30,50,51,45,29,19,8,7170,2001,2019-10-08T09:31:26.062Z,-05:00,6972.47878616286,44599.88294,53031992.7265625,61168.9938785031
30,Royal,522,466,479,446,1,0,0,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655,2001,2019-10-08T09:31:26.062Z,-05:00,187.898020319817,4039.33062,1425367.9375,5527.9123248267
